restaurant_name,review_count,avg_sentiment_score,positive_review_ratio,negative_review_ratio,avg_review_length,avg_subjectivity,area,restaurant_rating,user_rating_count
Sam's One Tree Cafe,5,0.9670400000000001,1.0,0.0,77.0,0.5987498719918075,New Road,4.2,1511.0
Sanchyan Ramen Japanese Restaurant,5,0.94712,1.0,0.0,77.4,0.5404579124579125,New Road,4.7,1080.0
Sasha Restaurant and Bar,5,0.24290000000000003,0.6,0.2,11.4,0.71,Koteshwor,4.0,16.0
Shandaar Momo Newroad,2,0.16870000000000002,0.5,0.5,21.0,0.5377525252525253,New Road,2.8,4.0
Shandar Cafe,5,0.62338,0.8,0.2,29.6,0.5898809523809524,New Road,4.3,167.0
Sheel Sekuwa and kitchen (cuisine),5,0.3562,0.6,0.2,34.6,0.5034074074074073,Koteshwor,3.4,27.0
Shiva Guest House,5,0.8810600000000001,1.0,0.0,83.0,0.5542648809523809,Bhaktapur Durbar Square,4.2,26.0
Shree Gudpak Bhandar,3,0.7531,1.0,0.0,24.333333333333332,0.47694444444444445,Bhaktapur Durbar Square,5.0,5.0
Shrey Courtyard,5,0.93344,1.0,0.0,53.6,0.6056618480725623,Koteshwor,4.4,769.0
Siddhartha Cottage,5,0.62874,1.0,0.0,29.2,0.6647936507936507,Koteshwor,3.8,895.0
Siddhartha Foodland,5,0.7780400000000001,1.0,0.0,35.4,0.4917671957671958,Baneshwor,3.9,644.0
Sky Ship,5,0.88512,1.0,0.0,40.2,0.5407575757575758,New Road,3.7,159.0
Smoking Yak Kathmandu,5,0.9612,1.0,0.0,76.2,0.7106703296703297,New Road,4.3,403.0
Spice -6 Tandoori and Family Restaurant,4,0.5189,0.75,0.0,11.75,0.5185119047619048,Koteshwor,4.5,11.0
Supper Club,5,0.9316800000000001,1.0,0.0,62.8,0.5725638655462186,New Road,4.3,384.0
T's your palate,5,0.92344,1.0,0.0,58.0,0.6566719576719577,New Road,4.7,2448.0
Tahina Terrace,5,0.9486800000000001,1.0,0.0,56.4,0.6698333333333333,New Road,4.6,46.0
Taleju Grand Hotel - Bhaktapur,5,0.6643399999999999,1.0,0.0,26.0,0.6663809523809524,Bhaktapur Durbar Square,4.7,22.0
Terrace Cafe & Restro,5,0.87686,1.0,0.0,72.6,0.5936904761904762,Baneshwor,3.8,51.0
Tha Chhen Restaurant,5,0.44312000000000007,0.8,0.2,56.6,0.5272638414217361,Baneshwor,3.9,47.0
Thakkhola Thakali Cuisine New Baneshwor,5,0.75488,1.0,0.0,46.0,0.6794206349206349,Baneshwor,3.9,969.0
The Bakery Cafe Baneshwor,5,0.9247,1.0,0.0,80.2,0.5738188112124283,Baneshwor,4.0,1373.0
"The Burger House And Melung Thakali - Subidhanagar,Tinkune",5,0.16655999999999999,0.6,0.4,53.4,0.6466666666666667,Koteshwor,3.8,101.0
The Gaga Restaurant,5,0.2814,0.6,0.4,62.4,0.5957792207792207,Baneshwor,3.1,169.0
The Garuda Bar,5,0.9007400000000001,1.0,0.0,62.2,0.6835321428571428,Bhaktapur Durbar Square,4.1,110.0
The Golden Eyes Restaurant & Cafe,5,0.6989799999999999,1.0,0.0,99.6,0.5960864718614719,Bhaktapur Durbar Square,3.6,96.0
The Grill Nation,5,0.95922,1.0,0.0,83.8,0.619465873015873,Baneshwor,4.2,1186.0
The LOFT lounge,5,0.77882,1.0,0.0,45.2,0.5401666666666667,Baneshwor,3.9,340.0
The Nanee,5,0.96104,1.0,0.0,77.4,0.6277804093567252,Bhaktapur Durbar Square,4.5,102.0
The Noodles Bar,5,0.8742000000000001,1.0,0.0,132.2,0.5686844980416409,Baneshwor,4.5,196.0
The One Cafe,5,0.35742,0.6,0.0,6.6,0.6066666666666667,Koteshwor,4.1,19.0
The Pottery Cafe and bar,5,0.68544,1.0,0.0,53.0,0.5654880952380953,Bhaktapur Durbar Square,4.5,279.0
"The Wings Factory, Mid-Baneshowr",5,0.8627800000000001,1.0,0.0,83.2,0.5814297345374932,Baneshwor,4.3,614.0
The grillfather,5,0.37639999999999996,0.6,0.4,83.6,0.6080255602240896,Baneshwor,4.2,163.0
Thirsty Newari Restaurant,5,0.96074,1.0,0.0,66.8,0.6743611111111112,New Road,4.9,107.0
Time's Cafe And Restro,5,0.91062,1.0,0.0,49.8,0.7072810047095761,Bhaktapur Durbar Square,4.0,189.0
Timmure Mid-Baneshwor,7,0.8152714285714285,0.8571428571428571,0.0,56.0,0.5889383055853921,Baneshwor,3.4,351.0
Timmure kamalbinayak,5,0.93428,1.0,0.0,53.6,0.6375357142857142,Bhaktapur Durbar Square,4.4,244.0
Trailers Mania,5,0.70312,0.8,0.0,31.8,0.485175974025974,Baneshwor,4.7,60.0
Tryst Fast Food Restaurant,5,0.9063599999999999,1.0,0.0,100.6,0.5854803675856307,Bhaktapur Durbar Square,3.6,179.0
Twenty Forty,6,0.59315,0.8333333333333334,0.16666666666666666,73.0,0.6221392691129534,Baneshwor,4.3,2179.0
